x y
4.213462e-01 1.915423e-01
4.213205e-01 1.923489e-01
4.212434e-01 1.931739e-01
4.211152e-01 1.940153e-01
4.209361e-01 1.948711e-01
4.207065e-01 1.957393e-01
4.204271e-01 1.966178e-01
4.200984e-01 1.975044e-01
4.197213e-01 1.983971e-01
4.192968e-01 1.992936e-01
4.188257e-01 2.001918e-01
4.183093e-01 2.010895e-01
4.177487e-01 2.019846e-01
4.171455e-01 2.028749e-01
4.165009e-01 2.037583e-01
4.158165e-01 2.046327e-01
4.150941e-01 2.054959e-01
4.143353e-01 2.063458e-01
4.135419e-01 2.071805e-01
4.127159e-01 2.079978e-01
4.118593e-01 2.087959e-01
4.109742e-01 2.095728e-01
4.100625e-01 2.103267e-01
4.091267e-01 2.110556e-01
4.081688e-01 2.117580e-01
4.071913e-01 2.124320e-01
4.061965e-01 2.130760e-01
4.051867e-01 2.136886e-01
4.041644e-01 2.142681e-01
4.031321e-01 2.148134e-01
4.020923e-01 2.153229e-01
4.010474e-01 2.157955e-01
4.000000e-01 2.162300e-01
3.989526e-01 2.166255e-01
3.979077e-01 2.169809e-01
3.968679e-01 2.172954e-01
3.958356e-01 2.175682e-01
3.948133e-01 2.177987e-01
3.938035e-01 2.179863e-01
3.928087e-01 2.181306e-01
3.918312e-01 2.182312e-01
3.908733e-01 2.182879e-01
3.899375e-01 2.183005e-01
3.890258e-01 2.182691e-01
3.881407e-01 2.181936e-01
3.872841e-01 2.180743e-01
3.864581e-01 2.179115e-01
3.856647e-01 2.177055e-01
3.849059e-01 2.174568e-01
3.841835e-01 2.171661e-01
3.834991e-01 2.168341e-01
3.828545e-01 2.164615e-01
3.822513e-01 2.160492e-01
3.816907e-01 2.155983e-01
3.811743e-01 2.151098e-01
3.807032e-01 2.145849e-01
3.802787e-01 2.140248e-01
3.799016e-01 2.134310e-01
3.795729e-01 2.128048e-01
3.792935e-01 2.121478e-01
3.790639e-01 2.114615e-01
3.788848e-01 2.107476e-01
3.787566e-01 2.100078e-01
3.786795e-01 2.092439e-01
3.786538e-01 2.084577e-01
3.786795e-01 2.076511e-01
3.787566e-01 2.068261e-01
3.788848e-01 2.059847e-01
3.790639e-01 2.051289e-01
3.792935e-01 2.042607e-01
3.795729e-01 2.033822e-01
3.799016e-01 2.024956e-01
3.802787e-01 2.016029e-01
3.807032e-01 2.007064e-01
3.811743e-01 1.998082e-01
3.816907e-01 1.989105e-01
3.822513e-01 1.980154e-01
3.828545e-01 1.971251e-01
3.834991e-01 1.962417e-01
3.841835e-01 1.953673e-01
3.849059e-01 1.945041e-01
3.856647e-01 1.936542e-01
3.864581e-01 1.928195e-01
3.872841e-01 1.920022e-01
3.881407e-01 1.912041e-01
3.890258e-01 1.904272e-01
3.899375e-01 1.896733e-01
3.908733e-01 1.889444e-01
3.918312e-01 1.882420e-01
3.928087e-01 1.875680e-01
3.938035e-01 1.869240e-01
3.948133e-01 1.863114e-01
3.958356e-01 1.857319e-01
3.968679e-01 1.851866e-01
3.979077e-01 1.846771e-01
3.989526e-01 1.842045e-01
4.000000e-01 1.837700e-01
4.010474e-01 1.833745e-01
4.020923e-01 1.830191e-01
4.031321e-01 1.827046e-01
4.041644e-01 1.824318e-01
4.051867e-01 1.822013e-01
4.061965e-01 1.820137e-01
4.071913e-01 1.818694e-01
4.081688e-01 1.817688e-01
4.091267e-01 1.817121e-01
4.100625e-01 1.816995e-01
4.109742e-01 1.817309e-01
4.118593e-01 1.818064e-01
4.127159e-01 1.819257e-01
4.135419e-01 1.820885e-01
4.143353e-01 1.822945e-01
4.150941e-01 1.825432e-01
4.158165e-01 1.828339e-01
4.165009e-01 1.831659e-01
4.171455e-01 1.835385e-01
4.177487e-01 1.839508e-01
4.183093e-01 1.844017e-01
4.188257e-01 1.848902e-01
4.192968e-01 1.854151e-01
4.197213e-01 1.859752e-01
4.200984e-01 1.865690e-01
4.204271e-01 1.871952e-01
4.207065e-01 1.878522e-01
4.209361e-01 1.885385e-01
4.211152e-01 1.892524e-01
4.212434e-01 1.899922e-01
4.213205e-01 1.907561e-01
4.213462e-01 1.915423e-01
