T11 T21
3.895575e-01 2.016088e-01
4.023062e-01 1.957782e-01
4.055483e-01 1.894967e-01
3.998333e-01 2.067165e-01
4.086794e-01 2.035939e-01
3.916584e-01 2.015176e-01
4.090300e-01 1.992356e-01
4.154930e-01 1.837859e-01
3.955263e-01 2.091975e-01
3.860753e-01 2.005884e-01
4.056931e-01 1.978189e-01
4.018675e-01 1.898402e-01
3.970622e-01 2.240445e-01
4.016812e-01 1.946890e-01
4.045521e-01 2.079827e-01
4.024452e-01 2.036511e-01
4.101540e-01 1.906918e-01
3.946088e-01 2.134473e-01
4.114958e-01 1.909911e-01
3.956544e-01 2.018956e-01
3.965172e-01 1.899948e-01
4.011530e-01 1.888936e-01
3.991964e-01 2.129492e-01
4.078843e-01 2.009967e-01
4.046573e-01 1.944398e-01
3.931169e-01 2.126616e-01
3.900016e-01 2.024080e-01
4.075267e-01 1.970065e-01
3.985402e-01 1.946529e-01
3.947009e-01 2.116735e-01
3.963824e-01 1.954253e-01
4.017219e-01 2.023200e-01
4.108742e-01 2.007694e-01
4.164207e-01 1.924249e-01
4.048261e-01 1.906540e-01
3.936859e-01 2.009276e-01
3.966580e-01 1.956864e-01
3.967739e-01 1.997180e-01
4.010855e-01 1.995001e-01
3.953458e-01 2.065773e-01
4.036836e-01 1.974935e-01
4.076350e-01 1.965189e-01
3.959520e-01 2.017522e-01
4.127767e-01 1.988026e-01
4.045765e-01 1.941948e-01
4.139586e-01 1.935976e-01
3.935458e-01 2.094449e-01
4.134198e-01 1.857022e-01
4.120912e-01 1.851233e-01
4.086076e-01 1.910936e-01
4.136217e-01 1.973363e-01
4.021191e-01 2.047182e-01
3.944315e-01 2.097700e-01
3.988871e-01 2.011915e-01
3.953164e-01 1.971513e-01
3.736089e-01 2.214855e-01
4.143327e-01 1.892852e-01
4.002141e-01 1.947208e-01
3.986073e-01 1.984040e-01
4.078318e-01 1.947705e-01
4.074312e-01 1.890261e-01
4.016686e-01 2.037026e-01
4.130482e-01 1.969496e-01
4.192755e-01 2.038608e-01
3.900938e-01 2.033838e-01
3.877584e-01 1.972559e-01
3.984873e-01 1.953976e-01
4.133402e-01 1.945585e-01
3.888959e-01 2.126871e-01
4.068330e-01 2.046975e-01
4.009940e-01 2.042725e-01
3.925531e-01 2.055798e-01
3.928097e-01 1.965978e-01
3.906671e-01 2.001193e-01
4.168529e-01 1.959809e-01
4.143249e-01 1.948044e-01
4.013541e-01 2.188033e-01
3.881102e-01 2.068815e-01
3.874250e-01 2.096839e-01
3.797204e-01 2.084932e-01
3.846962e-01 2.090978e-01
3.988708e-01 2.059680e-01
4.020149e-01 2.018824e-01
4.093578e-01 1.956233e-01
3.910547e-01 1.934908e-01
3.903961e-01 1.923925e-01
3.973626e-01 1.903324e-01
3.998125e-01 1.975350e-01
4.097914e-01 1.899892e-01
3.989355e-01 2.023551e-01
4.070264e-01 2.120212e-01
4.140249e-01 1.906271e-01
4.013200e-01 2.043369e-01
4.051081e-01 1.943814e-01
4.152298e-01 1.957343e-01
3.907908e-01 1.998301e-01
4.132422e-01 1.949678e-01
4.064139e-01 2.100248e-01
4.046816e-01 1.931014e-01
4.045771e-01 1.940608e-01
4.048549e-01 2.104037e-01
3.944230e-01 2.058734e-01
3.866944e-01 2.169736e-01
3.949737e-01 1.938222e-01
3.925548e-01 2.091685e-01
3.978623e-01 1.987538e-01
4.067230e-01 1.903252e-01
4.035949e-01 2.085474e-01
3.934599e-01 2.007470e-01
3.957980e-01 2.139943e-01
4.149428e-01 1.976574e-01
4.025975e-01 1.925091e-01
4.042674e-01 2.062795e-01
3.949497e-01 2.007655e-01
3.953908e-01 2.018198e-01
3.990835e-01 2.083833e-01
3.895046e-01 2.044036e-01
4.091890e-01 1.884152e-01
3.909449e-01 2.079717e-01
4.136213e-01 1.916269e-01
3.899671e-01 2.049299e-01
3.995904e-01 2.004467e-01
3.976652e-01 1.965811e-01
3.991475e-01 2.092887e-01
3.963705e-01 1.893931e-01
4.030790e-01 1.995922e-01
4.073991e-01 1.861833e-01
4.050977e-01 1.983100e-01
3.946435e-01 1.947468e-01
4.083680e-01 1.946966e-01
4.126269e-01 2.015657e-01
4.123436e-01 2.010230e-01
3.944892e-01 2.093470e-01
4.003367e-01 2.014991e-01
3.975954e-01 1.991900e-01
3.986977e-01 2.023550e-01
3.925775e-01 1.960196e-01
4.068917e-01 2.015000e-01
4.061016e-01 2.014681e-01
4.028612e-01 1.922976e-01
3.997083e-01 2.010078e-01
4.040426e-01 1.999505e-01
3.951241e-01 1.988174e-01
3.870201e-01 2.056810e-01
4.105483e-01 1.985729e-01
4.081774e-01 2.036974e-01
4.083593e-01 1.959611e-01
3.940603e-01 2.135705e-01
3.867927e-01 1.880525e-01
4.109064e-01 1.971047e-01
3.929757e-01 1.962087e-01
4.166358e-01 1.849512e-01
3.752721e-01 1.965251e-01
4.018270e-01 1.992768e-01
3.997425e-01 2.009205e-01
4.146821e-01 1.935689e-01
4.211469e-01 1.957477e-01
3.866022e-01 2.095082e-01
3.957984e-01 2.013635e-01
3.945196e-01 2.031106e-01
3.993435e-01 2.069957e-01
4.036369e-01 2.096091e-01
3.973381e-01 2.146054e-01
3.943078e-01 2.031230e-01
3.960990e-01 2.076754e-01
3.938749e-01 2.060016e-01
4.018638e-01 1.982400e-01
3.867519e-01 2.064280e-01
4.058065e-01 2.068506e-01
3.932452e-01 2.025745e-01
4.044491e-01 2.043330e-01
3.956088e-01 1.954943e-01
4.047167e-01 1.934196e-01
3.923617e-01 2.002722e-01
4.010986e-01 1.870914e-01
4.194086e-01 1.925163e-01
4.034808e-01 1.971717e-01
3.935822e-01 2.107038e-01
4.126601e-01 1.959218e-01
3.724090e-01 2.178834e-01
3.981330e-01 1.964147e-01
4.007572e-01 1.981577e-01
4.021835e-01 1.911655e-01
4.017693e-01 1.985913e-01
3.996712e-01 1.974558e-01
3.758127e-01 2.232248e-01
3.999593e-01 1.962902e-01
3.996007e-01 1.945790e-01
3.916361e-01 2.077183e-01
4.156796e-01 1.963737e-01
4.012489e-01 1.917028e-01
3.975516e-01 1.999240e-01
4.042253e-01 1.926877e-01
4.017958e-01 2.011161e-01
4.176748e-01 1.965295e-01
3.884514e-01 2.018766e-01
3.942315e-01 2.087294e-01
4.092769e-01 1.914868e-01
3.989526e-01 2.086760e-01
4.055253e-01 1.841576e-01
3.806634e-01 2.178888e-01
4.052627e-01 2.034493e-01
3.975725e-01 2.115597e-01
4.103402e-01 1.969287e-01
4.090755e-01 2.023551e-01
4.034320e-01 1.813010e-01
3.992228e-01 1.915342e-01
4.072269e-01 1.911553e-01
4.062202e-01 1.866634e-01
