x y
4.183857e-01 1.923970e-01
4.183635e-01 1.931076e-01
4.182971e-01 1.938348e-01
4.181867e-01 1.945769e-01
4.180324e-01 1.953320e-01
4.178347e-01 1.960984e-01
4.175940e-01 1.968742e-01
4.173109e-01 1.976575e-01
4.169861e-01 1.984464e-01
4.166204e-01 1.992391e-01
4.162147e-01 2.000336e-01
4.157699e-01 2.008281e-01
4.152871e-01 2.016205e-01
4.147675e-01 2.024090e-01
4.142123e-01 2.031918e-01
4.136229e-01 2.039668e-01
4.130006e-01 2.047323e-01
4.123471e-01 2.054864e-01
4.116637e-01 2.062273e-01
4.109523e-01 2.069532e-01
4.102145e-01 2.076623e-01
4.094521e-01 2.083530e-01
4.086669e-01 2.090235e-01
4.078609e-01 2.096723e-01
4.070359e-01 2.102978e-01
4.061939e-01 2.108985e-01
4.053371e-01 2.114729e-01
4.044674e-01 2.120197e-01
4.035869e-01 2.125376e-01
4.026977e-01 2.130252e-01
4.018021e-01 2.134815e-01
4.009021e-01 2.139053e-01
4.000000e-01 2.142955e-01
3.990979e-01 2.146514e-01
3.981979e-01 2.149719e-01
3.973023e-01 2.152564e-01
3.964131e-01 2.155041e-01
3.955326e-01 2.157145e-01
3.946629e-01 2.158870e-01
3.938061e-01 2.160213e-01
3.929641e-01 2.161169e-01
3.921391e-01 2.161737e-01
3.913331e-01 2.161916e-01
3.905479e-01 2.161704e-01
3.897855e-01 2.161103e-01
3.890477e-01 2.160114e-01
3.883363e-01 2.158739e-01
3.876529e-01 2.156982e-01
3.869994e-01 2.154846e-01
3.863771e-01 2.152337e-01
3.857877e-01 2.149462e-01
3.852325e-01 2.146226e-01
3.847129e-01 2.142638e-01
3.842301e-01 2.138707e-01
3.837853e-01 2.134441e-01
3.833796e-01 2.129852e-01
3.830139e-01 2.124949e-01
3.826891e-01 2.119746e-01
3.824060e-01 2.114254e-01
3.821653e-01 2.108487e-01
3.819676e-01 2.102458e-01
3.818133e-01 2.096183e-01
3.817029e-01 2.089676e-01
3.816365e-01 2.082953e-01
3.816143e-01 2.076030e-01
3.816365e-01 2.068924e-01
3.817029e-01 2.061652e-01
3.818133e-01 2.054231e-01
3.819676e-01 2.046680e-01
3.821653e-01 2.039016e-01
3.824060e-01 2.031258e-01
3.826891e-01 2.023425e-01
3.830139e-01 2.015536e-01
3.833796e-01 2.007609e-01
3.837853e-01 1.999664e-01
3.842301e-01 1.991719e-01
3.847129e-01 1.983795e-01
3.852325e-01 1.975910e-01
3.857877e-01 1.968082e-01
3.863771e-01 1.960332e-01
3.869994e-01 1.952677e-01
3.876529e-01 1.945136e-01
3.883363e-01 1.937727e-01
3.890477e-01 1.930468e-01
3.897855e-01 1.923377e-01
3.905479e-01 1.916470e-01
3.913331e-01 1.909765e-01
3.921391e-01 1.903277e-01
3.929641e-01 1.897022e-01
3.938061e-01 1.891015e-01
3.946629e-01 1.885271e-01
3.955326e-01 1.879803e-01
3.964131e-01 1.874624e-01
3.973023e-01 1.869748e-01
3.981979e-01 1.865185e-01
3.990979e-01 1.860947e-01
4.000000e-01 1.857045e-01
4.009021e-01 1.853486e-01
4.018021e-01 1.850281e-01
4.026977e-01 1.847436e-01
4.035869e-01 1.844959e-01
4.044674e-01 1.842855e-01
4.053371e-01 1.841130e-01
4.061939e-01 1.839787e-01
4.070359e-01 1.838831e-01
4.078609e-01 1.838263e-01
4.086669e-01 1.838084e-01
4.094521e-01 1.838296e-01
4.102145e-01 1.838897e-01
4.109523e-01 1.839886e-01
4.116637e-01 1.841261e-01
4.123471e-01 1.843018e-01
4.130006e-01 1.845154e-01
4.136229e-01 1.847663e-01
4.142123e-01 1.850538e-01
4.147675e-01 1.853774e-01
4.152871e-01 1.857362e-01
4.157699e-01 1.861293e-01
4.162147e-01 1.865559e-01
4.166204e-01 1.870148e-01
4.169861e-01 1.875051e-01
4.173109e-01 1.880254e-01
4.175940e-01 1.885746e-01
4.178347e-01 1.891513e-01
4.180324e-01 1.897542e-01
4.181867e-01 1.903817e-01
4.182971e-01 1.910324e-01
4.183635e-01 1.917047e-01
4.183857e-01 1.923970e-01
