x y
4.244403e-01 1.908762e-01
4.244109e-01 1.918082e-01
4.243226e-01 1.927599e-01
4.241758e-01 1.937290e-01
4.239707e-01 1.947132e-01
4.237079e-01 1.957102e-01
4.233879e-01 1.967175e-01
4.230116e-01 1.977328e-01
4.225799e-01 1.987534e-01
4.220938e-01 1.997771e-01
4.215544e-01 2.008014e-01
4.209631e-01 2.018237e-01
4.203214e-01 2.028416e-01
4.196306e-01 2.038526e-01
4.188926e-01 2.048544e-01
4.181091e-01 2.058445e-01
4.172819e-01 2.068205e-01
4.164131e-01 2.077800e-01
4.155048e-01 2.087209e-01
4.145591e-01 2.096407e-01
4.135783e-01 2.105373e-01
4.125648e-01 2.114085e-01
4.115211e-01 2.122522e-01
4.104496e-01 2.130664e-01
4.093529e-01 2.138491e-01
4.082337e-01 2.145985e-01
4.070946e-01 2.153127e-01
4.059385e-01 2.159900e-01
4.047681e-01 2.166288e-01
4.035861e-01 2.172275e-01
4.023956e-01 2.177847e-01
4.011992e-01 2.182991e-01
4.000000e-01 2.187694e-01
3.988008e-01 2.191945e-01
3.976044e-01 2.195733e-01
3.964139e-01 2.199050e-01
3.952319e-01 2.201887e-01
3.940615e-01 2.204238e-01
3.929054e-01 2.206097e-01
3.917663e-01 2.207459e-01
3.906471e-01 2.208322e-01
3.895504e-01 2.208683e-01
3.884789e-01 2.208540e-01
3.874352e-01 2.207896e-01
3.864217e-01 2.206751e-01
3.854409e-01 2.205108e-01
3.844952e-01 2.202970e-01
3.835869e-01 2.200344e-01
3.827181e-01 2.197235e-01
3.818909e-01 2.193650e-01
3.811074e-01 2.189600e-01
3.803694e-01 2.185092e-01
3.796786e-01 2.180139e-01
3.790369e-01 2.174751e-01
3.784456e-01 2.168943e-01
3.779062e-01 2.162728e-01
3.774201e-01 2.156120e-01
3.769884e-01 2.149137e-01
3.766121e-01 2.141794e-01
3.762921e-01 2.134110e-01
3.760293e-01 2.126102e-01
3.758242e-01 2.117791e-01
3.756774e-01 2.109196e-01
3.755891e-01 2.100338e-01
3.755597e-01 2.091238e-01
3.755891e-01 2.081918e-01
3.756774e-01 2.072401e-01
3.758242e-01 2.062710e-01
3.760293e-01 2.052868e-01
3.762921e-01 2.042898e-01
3.766121e-01 2.032825e-01
3.769884e-01 2.022672e-01
3.774201e-01 2.012466e-01
3.779062e-01 2.002229e-01
3.784456e-01 1.991986e-01
3.790369e-01 1.981763e-01
3.796786e-01 1.971584e-01
3.803694e-01 1.961474e-01
3.811074e-01 1.951456e-01
3.818909e-01 1.941555e-01
3.827181e-01 1.931795e-01
3.835869e-01 1.922200e-01
3.844952e-01 1.912791e-01
3.854409e-01 1.903593e-01
3.864217e-01 1.894627e-01
3.874352e-01 1.885915e-01
3.884789e-01 1.877478e-01
3.895504e-01 1.869336e-01
3.906471e-01 1.861509e-01
3.917663e-01 1.854015e-01
3.929054e-01 1.846873e-01
3.940615e-01 1.840100e-01
3.952319e-01 1.833712e-01
3.964139e-01 1.827725e-01
3.976044e-01 1.822153e-01
3.988008e-01 1.817009e-01
4.000000e-01 1.812306e-01
4.011992e-01 1.808055e-01
4.023956e-01 1.804267e-01
4.035861e-01 1.800950e-01
4.047681e-01 1.798113e-01
4.059385e-01 1.795762e-01
4.070946e-01 1.793903e-01
4.082337e-01 1.792541e-01
4.093529e-01 1.791678e-01
4.104496e-01 1.791317e-01
4.115211e-01 1.791460e-01
4.125648e-01 1.792104e-01
4.135783e-01 1.793249e-01
4.145591e-01 1.794892e-01
4.155048e-01 1.797030e-01
4.164131e-01 1.799656e-01
4.172819e-01 1.802765e-01
4.181091e-01 1.806350e-01
4.188926e-01 1.810400e-01
4.196306e-01 1.814908e-01
4.203214e-01 1.819861e-01
4.209631e-01 1.825249e-01
4.215544e-01 1.831057e-01
4.220938e-01 1.837272e-01
4.225799e-01 1.843880e-01
4.230116e-01 1.850863e-01
4.233879e-01 1.858206e-01
4.237079e-01 1.865890e-01
4.239707e-01 1.873898e-01
4.241758e-01 1.882209e-01
4.243226e-01 1.890804e-01
4.244109e-01 1.899662e-01
4.244403e-01 1.908762e-01
