T11 T21
3.845376e-01 2.006197e-01
3.904720e-01 2.033533e-01
3.977631e-01 2.062603e-01
4.118643e-01 1.886154e-01
4.048863e-01 1.976725e-01
3.987408e-01 2.045687e-01
4.082896e-01 1.929082e-01
4.003978e-01 2.072950e-01
4.056892e-01 1.976760e-01
4.009371e-01 1.947259e-01
4.030336e-01 2.054534e-01
4.061362e-01 1.942302e-01
3.973816e-01 2.114442e-01
3.809636e-01 1.981473e-01
4.087421e-01 1.966215e-01
3.969482e-01 2.087394e-01
4.064251e-01 1.978691e-01
4.022996e-01 1.910277e-01
3.871890e-01 2.045958e-01
3.988694e-01 2.031485e-01
3.896393e-01 2.036373e-01
3.980221e-01 2.043588e-01
3.945623e-01 1.975644e-01
3.895962e-01 2.142367e-01
4.053212e-01 1.983423e-01
4.004449e-01 2.090069e-01
3.860704e-01 2.034713e-01
4.120811e-01 1.960419e-01
4.130348e-01 1.927356e-01
4.040898e-01 1.911500e-01
4.101555e-01 1.892161e-01
3.951625e-01 2.057837e-01
4.019166e-01 2.076648e-01
3.828359e-01 2.073597e-01
4.014230e-01 2.007363e-01
4.262503e-01 1.822037e-01
4.011874e-01 1.994138e-01
3.922504e-01 1.838765e-01
4.041266e-01 2.010929e-01
4.101756e-01 1.939614e-01
4.046282e-01 2.031759e-01
4.009123e-01 1.946130e-01
4.054981e-01 2.047599e-01
3.967068e-01 1.818635e-01
3.880067e-01 2.152312e-01
3.910841e-01 1.989082e-01
3.984879e-01 2.027026e-01
3.791101e-01 1.995168e-01
4.036803e-01 2.083239e-01
3.975569e-01 1.978797e-01
4.005736e-01 2.110855e-01
3.939415e-01 1.916639e-01
3.911081e-01 1.993628e-01
4.030794e-01 2.128884e-01
4.002628e-01 2.049396e-01
3.923132e-01 2.014812e-01
4.096079e-01 1.939668e-01
3.955868e-01 2.030234e-01
3.911029e-01 2.041045e-01
4.294649e-01 1.937449e-01
3.978982e-01 1.998326e-01
4.077731e-01 1.798748e-01
3.893098e-01 2.124981e-01
4.132476e-01 2.033020e-01
4.030310e-01 1.987888e-01
4.103348e-01 1.955089e-01
3.935137e-01 1.995279e-01
4.000649e-01 1.966036e-01
4.005086e-01 2.009437e-01
4.164166e-01 1.935739e-01
3.931797e-01 2.116093e-01
4.284990e-01 1.969233e-01
4.151054e-01 2.024245e-01
3.999238e-01 2.028371e-01
3.911970e-01 1.981695e-01
3.993084e-01 2.011686e-01
3.971569e-01 2.188547e-01
3.858281e-01 2.258633e-01
4.086250e-01 1.932095e-01
4.102619e-01 1.972700e-01
4.123124e-01 1.999160e-01
4.054412e-01 2.039998e-01
4.015748e-01 1.996728e-01
4.166093e-01 1.781086e-01
3.937481e-01 1.995801e-01
4.119274e-01 1.958664e-01
4.138352e-01 1.906625e-01
4.025104e-01 1.936186e-01
4.061737e-01 1.880136e-01
4.143882e-01 1.911655e-01
4.031982e-01 2.058128e-01
3.881659e-01 2.078687e-01
4.042135e-01 2.051105e-01
3.705713e-01 2.212182e-01
3.946543e-01 1.904357e-01
3.887347e-01 2.148474e-01
3.961472e-01 2.118969e-01
3.993658e-01 2.070156e-01
3.967316e-01 2.088262e-01
4.136254e-01 1.860454e-01
4.102494e-01 1.910611e-01
4.113416e-01 1.842030e-01
4.036758e-01 1.890333e-01
4.004258e-01 2.099194e-01
4.024462e-01 2.088996e-01
3.916567e-01 1.866659e-01
3.933314e-01 2.001148e-01
3.966674e-01 1.976596e-01
3.930224e-01 2.094981e-01
4.038120e-01 2.011642e-01
4.148336e-01 1.893885e-01
4.050843e-01 2.049628e-01
4.079807e-01 1.949333e-01
4.121404e-01 2.015175e-01
4.061146e-01 1.981062e-01
4.007218e-01 1.913329e-01
3.930994e-01 1.962481e-01
4.051593e-01 1.843647e-01
3.918737e-01 2.034874e-01
3.968755e-01 2.052746e-01
3.914956e-01 2.134563e-01
3.994915e-01 1.961927e-01
3.946059e-01 2.056827e-01
3.876974e-01 2.155358e-01
4.134718e-01 1.887779e-01
4.142182e-01 1.889919e-01
4.140760e-01 2.012276e-01
4.063123e-01 2.101365e-01
4.019830e-01 2.020070e-01
3.933604e-01 2.037239e-01
4.197431e-01 2.002491e-01
4.022283e-01 1.948672e-01
3.901748e-01 2.048449e-01
3.950880e-01 2.066455e-01
4.027037e-01 1.936120e-01
4.005837e-01 2.023314e-01
3.964397e-01 2.123505e-01
3.863439e-01 2.053889e-01
4.056191e-01 2.119797e-01
4.035103e-01 1.997728e-01
3.981369e-01 1.949966e-01
3.994756e-01 2.016911e-01
4.167755e-01 2.009102e-01
3.985189e-01 1.991337e-01
4.067825e-01 2.003379e-01
3.899735e-01 2.002069e-01
4.136153e-01 1.917377e-01
3.988545e-01 2.015313e-01
3.905197e-01 2.131120e-01
4.030595e-01 1.964818e-01
4.098111e-01 1.902192e-01
4.257388e-01 1.897278e-01
3.877123e-01 2.020858e-01
3.841080e-01 2.060161e-01
3.884929e-01 1.943922e-01
3.965983e-01 1.923722e-01
4.014629e-01 1.927763e-01
4.132996e-01 1.921826e-01
4.004370e-01 2.072924e-01
4.035948e-01 2.027128e-01
3.964937e-01 2.047552e-01
3.977530e-01 2.125399e-01
4.041037e-01 1.959971e-01
3.961031e-01 1.953321e-01
4.020352e-01 2.043362e-01
4.061698e-01 1.970342e-01
3.951291e-01 1.934318e-01
3.987653e-01 1.964050e-01
3.994062e-01 2.127499e-01
4.092305e-01 1.865064e-01
4.085339e-01 1.910615e-01
3.961738e-01 1.995990e-01
4.078963e-01 1.973670e-01
4.055313e-01 1.945810e-01
3.893137e-01 2.119798e-01
4.140035e-01 1.933230e-01
3.977964e-01 2.104342e-01
3.857025e-01 2.001966e-01
3.920692e-01 2.085914e-01
4.185147e-01 1.809251e-01
3.960094e-01 1.886424e-01
3.901078e-01 2.044559e-01
3.910596e-01 1.991614e-01
4.046282e-01 1.950347e-01
3.924311e-01 2.150018e-01
4.014959e-01 2.037251e-01
3.996553e-01 2.136771e-01
4.174582e-01 2.036403e-01
3.771174e-01 2.149184e-01
4.088276e-01 1.946101e-01
3.887865e-01 1.990215e-01
4.095496e-01 1.876327e-01
3.976778e-01 2.085052e-01
4.103479e-01 1.928102e-01
4.073691e-01 2.094942e-01
3.962351e-01 1.988565e-01
3.929973e-01 1.906932e-01
4.243767e-01 1.923772e-01
4.177575e-01 2.037949e-01
3.993067e-01 1.987283e-01
3.839590e-01 1.950335e-01
3.925230e-01 2.015582e-01
4.128098e-01 1.925485e-01
3.967735e-01 2.053018e-01
4.179617e-01 1.893766e-01
3.917499e-01 2.155929e-01
3.820671e-01 2.172928e-01
3.847951e-01 2.244656e-01
3.941090e-01 2.011096e-01
3.940552e-01 2.060847e-01
4.181658e-01 1.926873e-01
4.138926e-01 1.733518e-01
3.902413e-01 2.114423e-01
4.065935e-01 1.979714e-01
4.032396e-01 1.825575e-01
4.051138e-01 1.904024e-01
3.975006e-01 2.009809e-01
4.175404e-01 1.940909e-01
4.145949e-01 2.028120e-01
3.977349e-01 1.993024e-01
4.025292e-01 1.885084e-01
4.191684e-01 1.799267e-01
4.151430e-01 2.024728e-01
3.976289e-01 2.117176e-01
3.879738e-01 1.871388e-01
4.052901e-01 2.031257e-01
3.859669e-01 2.040449e-01
3.936932e-01 2.040407e-01
4.057395e-01 2.039384e-01
4.147270e-01 1.934040e-01
3.707746e-01 2.048842e-01
3.897311e-01 2.141953e-01
4.013530e-01 1.938648e-01
4.094585e-01 1.973651e-01
3.943140e-01 1.919695e-01
4.007949e-01 2.035479e-01
4.244583e-01 1.785769e-01
3.960108e-01 1.936048e-01
3.951003e-01 2.139222e-01
3.990184e-01 2.055520e-01
4.017236e-01 1.835112e-01
4.011736e-01 2.029356e-01
3.955714e-01 1.937669e-01
3.883633e-01 1.927514e-01
4.017799e-01 1.984623e-01
4.065873e-01 1.969236e-01
3.843787e-01 1.987352e-01
4.003246e-01 2.009914e-01
4.052327e-01 1.948125e-01
3.921789e-01 2.045198e-01
3.993007e-01 2.044766e-01
3.962112e-01 2.123829e-01
3.927589e-01 1.984275e-01
3.923346e-01 1.942383e-01
4.070142e-01 1.891216e-01
4.154820e-01 1.792094e-01
3.894555e-01 1.942708e-01
4.198280e-01 1.960576e-01
4.013642e-01 2.024497e-01
4.002710e-01 2.031482e-01
3.848771e-01 2.072341e-01
3.939288e-01 2.072078e-01
3.999377e-01 1.944063e-01
3.806960e-01 2.044614e-01
3.861378e-01 2.160972e-01
3.954303e-01 2.115407e-01
3.895674e-01 1.986091e-01
4.020145e-01 1.980859e-01
3.929324e-01 2.067900e-01
4.058656e-01 2.099844e-01
4.011312e-01 1.952235e-01
3.973119e-01 1.944475e-01
3.958602e-01 1.966732e-01
3.882421e-01 2.001541e-01
4.057386e-01 1.999187e-01
3.969455e-01 2.127407e-01
3.760583e-01 2.091508e-01
4.073498e-01 1.875851e-01
3.993407e-01 1.981765e-01
4.058407e-01 1.946989e-01
4.042348e-01 1.925179e-01
3.851422e-01 2.118828e-01
4.112548e-01 1.924628e-01
4.070787e-01 2.131533e-01
3.894526e-01 2.140757e-01
3.783739e-01 2.232011e-01
3.774985e-01 2.052908e-01
4.098696e-01 1.977082e-01
3.879055e-01 2.003367e-01
3.832015e-01 1.984313e-01
4.031495e-01 1.738322e-01
4.051466e-01 1.907975e-01
3.905708e-01 2.105000e-01
4.136267e-01 2.017493e-01
3.840724e-01 2.046377e-01
4.052587e-01 1.909896e-01
4.057643e-01 2.044252e-01
3.975726e-01 1.936245e-01
3.880195e-01 2.015457e-01
3.883389e-01 2.064695e-01
4.250185e-01 2.040129e-01
