T11 T21
3.961069e-01 2.001048e-01
4.076133e-01 2.000736e-01
3.912324e-01 2.023659e-01
3.974554e-01 1.953530e-01
4.033672e-01 1.901885e-01
4.041196e-01 2.105512e-01
4.078676e-01 1.965705e-01
4.003947e-01 1.976938e-01
3.940206e-01 1.879606e-01
3.984214e-01 2.059098e-01
3.964965e-01 2.025720e-01
3.888268e-01 2.040732e-01
4.012590e-01 1.937165e-01
3.973859e-01 2.058029e-01
4.073540e-01 1.967876e-01
4.109652e-01 1.951313e-01
4.085472e-01 1.978352e-01
3.900621e-01 2.020031e-01
3.910550e-01 2.165157e-01
4.057224e-01 2.138851e-01
4.104299e-01 1.999248e-01
3.937030e-01 1.996264e-01
4.045074e-01 1.924009e-01
3.980192e-01 1.997455e-01
3.888834e-01 2.073805e-01
4.099422e-01 2.042859e-01
3.875172e-01 2.020453e-01
3.929059e-01 2.009985e-01
3.927557e-01 1.956262e-01
3.820479e-01 2.060118e-01
4.002511e-01 2.100633e-01
3.972107e-01 2.110552e-01
3.970367e-01 1.984404e-01
4.015609e-01 1.992318e-01
4.035280e-01 1.934165e-01
4.039480e-01 2.003646e-01
4.151183e-01 1.917086e-01
4.022694e-01 2.090901e-01
3.815426e-01 2.069158e-01
4.228967e-01 1.944017e-01
4.049549e-01 1.861023e-01
4.013995e-01 1.982265e-01
4.056343e-01 1.995869e-01
4.080167e-01 2.030570e-01
4.034029e-01 2.027713e-01
4.034014e-01 1.912602e-01
4.080743e-01 1.968673e-01
4.019782e-01 1.961237e-01
3.967425e-01 2.015768e-01
4.044603e-01 1.987884e-01
4.026484e-01 1.904632e-01
4.086785e-01 2.007594e-01
3.874293e-01 1.996419e-01
3.995274e-01 2.022455e-01
3.989601e-01 1.957162e-01
4.137893e-01 1.908342e-01
3.869379e-01 2.045336e-01
3.983930e-01 2.062295e-01
3.963425e-01 1.925607e-01
4.065870e-01 1.875600e-01
4.080521e-01 1.975302e-01
4.052211e-01 2.067941e-01
4.127488e-01 1.889595e-01
4.043400e-01 1.979259e-01
4.065555e-01 1.990821e-01
3.970329e-01 1.934824e-01
4.126938e-01 1.830007e-01
3.952858e-01 1.996359e-01
3.995458e-01 2.064653e-01
4.014596e-01 1.955247e-01
4.112239e-01 1.836832e-01
4.027934e-01 2.059110e-01
3.986563e-01 2.032907e-01
4.102586e-01 1.953757e-01
3.983636e-01 2.034554e-01
3.993489e-01 1.964646e-01
3.999704e-01 1.976325e-01
4.130084e-01 2.009336e-01
3.854503e-01 2.138957e-01
4.073977e-01 1.876920e-01
4.076988e-01 2.032033e-01
4.001350e-01 1.987077e-01
4.028389e-01 2.030052e-01
4.069586e-01 1.985126e-01
4.077019e-01 1.962169e-01
3.957119e-01 1.942938e-01
3.909882e-01 2.076362e-01
4.025764e-01 1.881111e-01
3.976178e-01 2.122920e-01
3.902406e-01 2.066463e-01
3.980906e-01 2.016838e-01
3.994687e-01 1.996752e-01
3.875083e-01 2.148122e-01
4.101301e-01 1.936462e-01
4.022768e-01 1.881945e-01
4.070432e-01 1.967197e-01
3.979483e-01 2.023674e-01
3.931058e-01 2.087678e-01
4.008830e-01 2.004560e-01
3.972976e-01 2.033833e-01
3.973670e-01 2.100685e-01
4.059536e-01 2.110421e-01
3.976510e-01 2.025718e-01
3.921144e-01 2.062776e-01
4.019364e-01 2.029740e-01
3.962333e-01 1.909891e-01
3.887683e-01 2.047110e-01
3.995822e-01 2.036245e-01
3.871669e-01 2.048383e-01
3.950704e-01 1.973558e-01
4.114679e-01 2.000932e-01
3.975652e-01 2.008430e-01
3.934534e-01 2.075161e-01
4.022506e-01 1.994058e-01
3.964065e-01 2.067547e-01
4.067408e-01 2.021715e-01
3.807218e-01 2.072744e-01
4.081156e-01 1.972465e-01
3.939806e-01 2.045213e-01
4.024080e-01 1.979173e-01
3.938133e-01 2.077064e-01
4.043369e-01 1.987174e-01
3.969920e-01 2.022828e-01
4.018721e-01 1.932349e-01
3.987172e-01 2.027239e-01
3.974848e-01 1.921360e-01
4.031175e-01 1.949191e-01
3.901290e-01 2.033718e-01
4.072341e-01 2.058173e-01
3.957563e-01 2.067817e-01
4.074566e-01 2.053398e-01
3.920950e-01 1.999332e-01
4.003973e-01 1.943671e-01
3.904252e-01 2.065525e-01
4.099045e-01 1.902962e-01
4.052875e-01 1.910449e-01
4.039216e-01 2.046548e-01
4.082502e-01 1.977439e-01
4.000648e-01 2.038504e-01
3.864830e-01 2.091653e-01
4.038286e-01 2.084959e-01
4.055903e-01 2.032983e-01
3.933881e-01 2.056508e-01
3.916979e-01 2.198390e-01
4.069746e-01 1.951294e-01
4.058317e-01 1.982889e-01
3.914945e-01 1.979698e-01
3.815152e-01 2.066232e-01
4.071493e-01 1.940081e-01
3.945123e-01 2.013408e-01
3.916232e-01 2.076655e-01
4.018005e-01 1.954708e-01
4.078012e-01 1.998810e-01
4.095174e-01 1.944193e-01
3.963172e-01 2.009243e-01
4.182462e-01 2.009879e-01
4.035519e-01 1.998986e-01
4.150561e-01 1.806185e-01
4.013735e-01 1.956878e-01
3.839111e-01 1.931546e-01
3.958233e-01 1.992445e-01
3.900474e-01 1.992901e-01
4.086263e-01 2.059773e-01
4.089881e-01 1.955773e-01
3.792667e-01 2.125002e-01
3.907940e-01 2.016266e-01
4.070419e-01 1.949591e-01
4.014714e-01 1.943799e-01
3.989133e-01 1.967435e-01
3.986565e-01 1.994826e-01
3.981853e-01 2.013030e-01
4.109289e-01 2.044769e-01
4.054901e-01 1.996498e-01
3.949688e-01 2.080304e-01
4.035101e-01 1.929088e-01
4.015938e-01 2.040787e-01
3.984890e-01 2.009763e-01
3.900157e-01 2.032668e-01
4.178319e-01 1.916341e-01
4.006916e-01 2.095285e-01
4.028222e-01 1.909410e-01
3.930408e-01 2.111060e-01
4.052654e-01 1.937794e-01
4.047946e-01 2.004543e-01
3.905853e-01 2.095890e-01
4.054693e-01 1.974456e-01
3.884998e-01 2.044503e-01
3.927575e-01 2.195081e-01
3.994544e-01 1.930668e-01
3.928704e-01 1.983060e-01
4.039444e-01 1.974976e-01
4.024632e-01 1.995384e-01
3.876778e-01 2.058066e-01
3.931228e-01 2.081556e-01
3.931752e-01 1.989135e-01
3.985439e-01 2.025870e-01
3.899419e-01 1.974679e-01
3.954253e-01 2.059849e-01
4.021326e-01 2.079394e-01
3.984124e-01 1.907263e-01
3.959986e-01 2.031230e-01
3.899086e-01 2.047220e-01
4.070388e-01 2.009282e-01
3.984386e-01 2.100364e-01
4.097716e-01 1.945340e-01
3.827966e-01 2.136125e-01
4.077250e-01 1.890385e-01
3.903092e-01 2.045594e-01
4.067527e-01 2.000297e-01
3.924883e-01 2.124429e-01
3.999358e-01 1.878591e-01
4.007996e-01 1.961764e-01
4.019976e-01 1.961435e-01
4.049840e-01 1.907878e-01
3.941614e-01 2.000353e-01
3.993535e-01 1.973589e-01
4.004497e-01 1.982845e-01
4.172988e-01 1.816814e-01
4.003422e-01 2.139070e-01
3.907660e-01 2.016051e-01
4.027998e-01 1.961788e-01
3.920484e-01 2.069676e-01
3.922624e-01 2.055788e-01
4.032322e-01 2.069720e-01
3.982001e-01 1.970924e-01
4.020167e-01 1.955784e-01
4.004360e-01 1.979230e-01
3.975361e-01 1.922347e-01
4.007996e-01 2.039569e-01
4.020671e-01 1.952988e-01
3.974727e-01 1.984757e-01
3.941337e-01 2.058473e-01
4.104054e-01 1.893973e-01
3.951563e-01 2.104128e-01
4.283744e-01 1.851565e-01
3.962569e-01 2.022233e-01
3.944910e-01 2.077949e-01
3.874695e-01 2.112202e-01
4.026061e-01 1.990955e-01
4.023136e-01 1.931020e-01
3.852404e-01 2.002586e-01
4.094070e-01 1.977623e-01
3.948335e-01 2.066995e-01
4.052987e-01 1.873472e-01
4.029469e-01 2.019670e-01
4.019514e-01 1.927532e-01
3.887632e-01 1.937737e-01
3.962759e-01 1.920786e-01
4.005420e-01 2.000790e-01
4.037472e-01 2.005015e-01
4.067295e-01 2.019117e-01
4.032746e-01 1.975841e-01
4.043941e-01 2.061918e-01
3.896503e-01 2.109678e-01
3.969571e-01 1.985633e-01
3.935808e-01 2.115151e-01
3.972123e-01 2.034228e-01
3.970157e-01 2.023685e-01
4.010958e-01 1.957714e-01
3.967610e-01 1.996249e-01
3.995642e-01 2.020544e-01
3.845202e-01 2.015811e-01
3.905411e-01 1.964117e-01
4.055540e-01 1.966610e-01
3.925948e-01 2.113744e-01
4.026717e-01 1.990219e-01
3.876695e-01 2.064182e-01
3.991069e-01 2.071482e-01
4.033394e-01 2.071388e-01
3.885737e-01 2.097567e-01
3.990009e-01 2.037150e-01
4.028963e-01 1.939248e-01
4.021832e-01 1.879072e-01
3.967485e-01 2.101762e-01
3.888486e-01 2.048274e-01
4.003891e-01 1.981625e-01
4.096487e-01 1.955274e-01
3.931043e-01 2.057805e-01
4.009077e-01 1.923428e-01
4.074350e-01 1.944543e-01
4.100896e-01 1.902887e-01
3.885109e-01 2.062360e-01
4.027255e-01 2.065647e-01
3.991960e-01 2.021879e-01
3.967470e-01 2.044484e-01
4.053747e-01 1.972759e-01
